point,temp,hum
강릉,22.7,92
강진군,26.3,75
강화,25.0,78
거제,26.9,77
거창,26.2,83
경주시,25.9,79
고산,27.0,90
고창,24.3,80
고창군,23.7,80
고흥,26.8,69
광양시,29.6,72
광주,24.8,95
구미,27.8,74
군산,24.8,80
금산,22.7,90
김해시,31.0,73
남원,24.0,86
남해,28.9,70
대관령,18.6,93
대구,31.5,64
대전,22.9,89
동두천,23.2,91
동해,21.5,99
목포,25.1,79
문경,23.1,98
밀양,31.2,57
백령도,24.4,80
보령,24.2,80
보성군,27.1,72
보은,22.9,93
봉화,21.5,98
부산,29.3,73
부안,23.5,83
부여,23.8,83
북강릉,21.3,96
북창원,31.1,67
북춘천,24.6,86
산청,28.4,69
상주,23.9,95
서귀포,30.2,64
서산,24.7,75
서울,23.6,87
성산,28.3,68
세종,22.7,91
속초,21.3,96
수원,24.1,86
순창군,24.1,82
순천,26.0,73
안동,24.3,90
양산시,30.8,67
양평,23.8,83
여수,28.3,66
영광군,24.1,80
영덕,22.4,86
영월,22.6,95
영주,22.6,100
영천,28.4,77
완도,26.0,73
울릉도,21.2,100
울산,28.0,76
울진,21.9,96
원주,22.6,91
의령군,30.1,70
의성,27.0,84
이천,23.9,94
인제,23.1,85
인천,23.7,80
임실,21.6,95
장수,22.0,90
장흥,26.0,74
전주,24.4,80
정선군,22.9,87
정읍,23.4,79
제주,28.7,74
제천,22.5,97
진도군,25.4,78
진주,30.1,70
창원,31.2,64
천안,22.6,99
철원,23.6,87
청송군,24.7,80
청주,23.5,86
추풍령,24.8,86
춘천,24.1,89
충주,23.1,95
태백,19.7,94
통영,27.2,77
파주,24.1,84
포항,25.9,79
함양군,25.7,89
합천,30.1,61
해남,25.4,79
홍성,24.4,80
홍천,22.0,96
흑산도,26.0,81
